Employee ID,Employee Name,Project Number,Project Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
EMP0001,Marcus Chen,P00002,Reliability,60,50,70,,,,,,,,,,180
EMP0001,Marcus Chen,P00006,AI Chatbot Integration,40,50,30,,,,,,,,,,120
EMP0001,Marcus Chen,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0001,Marcus Chen,P00017,Meetings,40,40,40,,,,,,,,,,120
EMP0002,Sarah Whitfield,P00003,New Mobile Features,80,90,80,,,,,,,,,,250
EMP0002,Sarah Whitfield,P00016,App/System Maintenance,40,30,40,,,,,,,,,,110
EMP0002,Sarah Whitfield,P00015,Paid Time Off,40,40,40,,,,,,,,,,120
EMP0003,David Okonkwo,P00008,Customer Billing Features,60,60,50,,,,,,,,,,170
EMP0003,David Okonkwo,P00012,Customer Two Factor Authorization,50,50,60,,,,,,,,,,160
EMP0003,David Okonkwo,P00017,Meetings,30,30,30,,,,,,,,,,90
EMP0003,David Okonkwo,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0004,Rachel Zimmerman,P00001,Billing Refunds,100,80,90,,,,,,,,,,270
EMP0004,Rachel Zimmerman,P00019,Bug & Defect Fixes,40,60,50,,,,,,,,,,150
EMP0004,Rachel Zimmerman,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0005,Tyler Nakamura,P00010,WiFi Connectivity Experiences,80,70,80,,,,,,,,,,230
EMP0005,Tyler Nakamura,P00014,CPE Enhancements & Testing,60,70,60,,,,,,,,,,190
EMP0005,Tyler Nakamura,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0006,Jessica Pearson,P00002,Reliability,50,60,40,,,,,,,,,,150
EMP0006,Jessica Pearson,P00009,3rd Party Application Integration,50,40,60,,,,,,,,,,150
EMP0006,Jessica Pearson,P00018,Support,40,40,40,,,,,,,,,,120
EMP0006,Jessica Pearson,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0007,Brandon Reeves,P00013,Customer Journey Integration,120,110,120,,,,,,,,,,350
EMP0007,Brandon Reeves,P00017,Meetings,20,30,20,,,,,,,,,,70
EMP0007,Brandon Reeves,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0008,Olivia Fontaine,P00006,AI Chatbot Integration,80,80,80,,,,,,,,,,240
EMP0008,Olivia Fontaine,P00007,AI Chatbot Implementation,80,80,80,,,,,,,,,,240
EMP0009,Carlos Medina,P00004,Buyflow Enhancements,100,110,100,,,,,,,,,,310
EMP0009,Carlos Medina,P00019,Bug & Defect Fixes,60,50,60,,,,,,,,,,170
EMP0010,Heather Langston,P00014,CPE Enhancements & Testing,80,90,80,,,,,,,,,,250
EMP0010,Heather Langston,P00016,App/System Maintenance,80,70,80,,,,,,,,,,230
EMP0011,Andre Williams,P00010,WiFi Connectivity Experiences,60,70,50,,,,,,,,,,180
